Code,Régions,,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
11,Île-de-France,,8.32500075,8.200001,7.950001,6.225001,6.575001,7.175001,7.025001,6.975001,6.500001,5.975001,6.025001,6.700001,7.975001,8.200001,8.425001,8.325001,7.925001,8.525001,8.125001,7.800001,7.150001,6.975001
21,Champagne-Ardenne,,9.67500075,9.250001,8.675001,7.875001,8.600001,9.450001,9.550001,8.350001,9.325001,9.600001,10.775001,11.700001,13.075001,13.475001,14.200001,13.750001,12.225001,12.425001,11.950001,10.950001,11.025001,10.225001
22,Picardie,,10.95000075,11.025001,10.875001,8.600001,9.000001,9.925001,9.825001,9.625001,9.100001,8.550001,8.625001,9.425001,10.825001,11.050001,11.375001,11.050001,10.425001,11.200001,10.250001,9.075001,8.300001,8.400001
23,Haute-Normandie,,11.60000075,12.600001,12.325001,10.525001,11.150001,12.025001,12.025001,10.812501,12.025001,11.875001,12.075001,13.425001,15.000001,15.100001,15.200001,14.775001,14.050001,14.500001,13.725001,13.000001,11.950001,11.575001
24,Centre,,9.02500075,9.525001,9.775001,7.975001,8.500001,9.600001,9.425001,10.687501,8.825001,8.150001,8.175001,8.700001,10.050001,10.425001,11.250001,11.200001,10.525001,11.025001,10.325001,9.150001,8.425001,8.225001
25,Basse-Normandie,,8.65000075,8.700001,8.525001,6.650001,7.150001,7.950001,7.975001,8.587501,7.625001,6.975001,6.750001,7.475001,8.925001,9.200001,9.825001,9.700001,9.425001,10.200001,9.525001,8.450001,7.425001,7.325001
26,Bourgogne,,8.20000075,8.025001,7.800001,6.200001,6.775001,7.425001,7.350001,7.600001,7.200001,6.725001,6.450001,7.050001,8.425001,8.800001,9.125001,9.150001,8.700001,9.200001,8.775001,8.350001,7.950001,8.000001
31,Nord-Pas-de-Calais,,11.47500075,10.450001,10.275001,8.125001,8.675001,9.700001,9.725001,8.550001,9.250001,8.775001,8.850001,9.875001,11.525001,11.825001,12.475001,12.425001,11.600001,12.100001,11.300001,10.450001,9.650001,9.450001
41,Lorraine,,11.15000075,12.850001,12.625001,10.600001,11.250001,12.275001,11.975001,10.725001,11.075001,10.775001,11.125001,12.125001,13.975001,14.275001,14.800001,14.500001,13.700001,14.475001,13.400001,12.075001,11.300001,11.550001
42,Alsace,,8.37500075,8.675001,8.600001,6.675001,7.350001,8.325001,8.125001,9.662501,6.875001,5.800001,5.000001,5.225001,6.225001,6.550001,7.050001,6.825001,6.475001,7.075001,6.600001,5.550001,4.850001,4.925001
43,Franche-Comté,,8.37500075,8.275001,7.950001,6.625001,7.500001,8.275001,8.650001,8.275001,8.400001,7.375001,6.725001,7.525001,8.900001,9.300001,9.625001,9.450001,9.050001,9.500001,8.925001,7.675001,6.925001,6.525001
52,Pays de la Loire,,7.90000075,8.275001,8.275001,6.200001,6.725001,7.575001,7.525001,8.225001,7.200001,6.725001,6.600001,7.150001,8.650001,9.225001,9.800001,9.850001,9.500001,10.325001,9.875001,9.075001,8.225001,8.200001
53,Bretagne,,8.20000075,8.650001,8.350001,6.500001,6.900001,7.775001,7.850001,7.687501,7.250001,6.525001,6.250001,6.950001,8.350001,8.750001,9.375001,9.300001,8.650001,9.450001,8.850001,7.825001,6.900001,6.650001
54,Poitou-Charentes,,8.87500075,9.025001,8.925001,7.125001,7.550001,8.425001,8.375001,8.025001,8.000001,7.475001,7.675001,8.400001,9.750001,9.950001,10.325001,10.175001,9.850001,10.675001,10.125001,9.750001,8.975001,8.875001
72,Aquitaine,,9.22500075,9.125001,8.750001,7.225001,7.700001,8.525001,8.725001,8.487501,8.425001,7.925001,8.025001,8.800001,10.125001,10.450001,10.725001,10.675001,10.150001,10.600001,10.100001,9.375001,8.425001,8.275001
73,Midi-Pyrénées,,9.10000075,8.900001,8.975001,7.125001,7.725001,8.600001,8.625001,8.612501,8.225001,7.625001,7.525001,8.100001,9.525001,9.950001,10.500001,10.275001,9.325001,9.950001,9.275001,8.525001,7.850001,7.900001
74,Limousin,,8.85000075,9.325001,9.000001,7.475001,8.100001,8.900001,8.775001,8.612501,8.525001,8.225001,8.500001,9.150001,10.200001,10.250001,10.325001,10.050001,9.475001,9.875001,9.400001,8.725001,7.850001,7.750001
82,Rhône-Alpes,,8.25000075,8.525001,8.475001,6.450001,6.975001,7.625001,7.775001,8.262501,7.575001,6.800001,6.425001,7.375001,9.050001,9.300001,9.900001,10.125001,9.750001,10.650001,10.125001,8.725001,7.300001,6.700001
83,Auvergne,,8.37500075,8.475001,8.400001,6.800001,7.250001,7.825001,7.700001,7.737501,7.275001,7.000001,7.425001,7.825001,9.000001,9.150001,9.775001,9.750001,9.175001,9.850001,9.225001,9.000001,8.675001,8.525001
91,Languedoc-Roussillon,,11.27500075,9.850001,9.800001,7.575001,8.150001,9.100001,8.925001,8.162501,8.125001,7.375001,7.050001,7.650001,9.000001,9.275001,9.675001,9.375001,8.900001,9.600001,8.950001,8.050001,7.400001,7.575001
93,Provence-Alpes-Côte d'Azur,,11.02500075,10.800001,10.425001,8.775001,9.675001,10.375001,10.425001,9.525001,10.400001,10.175001,10.875001,12.050001,13.775001,13.975001,14.300001,13.875001,13.275001,13.750001,13.000001,11.750001,10.450001,9.975001
94,Corse,,8.97500075,9.225001,9.450001,6.975001,7.425001,8.375001,8.025001,9.112501,7.250001,6.525001,5.625001,6.325001,7.775001,8.200001,8.700001,8.325001,7.650001,8.550001,8.250001,7.450001,6.625001,6.300001
