Code,Régions,1990T1,1990T2,1990T3,1990T4,1991T1,1991T2,1991T3,1991T4,1992T1,1992T2,1992T3,1992T4,1993T1,1993T2,1993T3,1993T4
11,Île-de-France,7.000001,7.000001,6.900001,7.000001,7.100001,7.100001,7.100001,7.300001,7.600001,7.800001,7.900001,7.900001,7.900001,8.000001,8.200001,8.400001
21,Champagne-Ardenne,10.000001,10.100001,10.200001,10.600001,11.000001,11.300001,11.000001,10.800001,10.900001,10.700001,10.900001,11.300001,11.500001,11.900001,12.100001,12.300001
22,Picardie,8.500001,8.300001,8.400001,8.400001,8.200001,8.200001,8.300001,8.500001,8.800001,8.900001,9.200001,9.400001,9.600001,10.100001,10.500001,10.800001
23,Haute-Normandie,11.500001,11.500001,11.500001,11.800001,11.900001,11.900001,11.900001,12.100001,12.600001,12.900001,13.200001,13.300001,13.400001,13.600001,13.800001,14.100001
24,Centre,8.300001,8.200001,8.200001,8.200001,8.300001,8.400001,8.400001,8.600001,8.900001,9.000001,9.200001,9.500001,9.800001,10.200001,10.500001,10.800001
25,Basse-Normandie,7.500001,7.300001,7.200001,7.300001,7.300001,7.400001,7.400001,7.600001,8.000001,8.300001,8.600001,8.900001,9.000001,9.400001,9.700001,10.000001
26,Bourgogne,8.100001,8.000001,8.000001,7.900001,7.900001,8.000001,7.900001,8.000001,8.200001,8.300001,8.400001,8.500001,8.600001,8.700001,8.800001,9.000001
31,Nord-Pas-de-Calais,9.700001,9.400001,9.300001,9.400001,9.500001,9.600001,9.600001,9.900001,10.200001,10.400001,10.600001,10.600001,10.700001,11.100001,11.500001,11.900001
41,Lorraine,11.400001,11.600001,11.600001,11.600001,11.400001,11.200001,11.200001,11.400001,11.800001,11.900001,12.200001,12.400001,12.600001,13.200001,13.700001,14.100001
42,Alsace,5.000001,5.000001,4.900001,4.800001,4.800001,4.800001,4.800001,5.000001,5.200001,5.400001,5.700001,5.900001,6.100001,6.500001,6.800001,7.000001
43,Franche-Comté,6.600001,6.500001,6.500001,6.500001,6.700001,6.900001,7.000001,7.100001,7.300001,7.500001,7.800001,8.100001,8.400001,8.800001,9.100001,9.400001
52,Pays de la Loire,8.300001,8.200001,8.200001,8.100001,8.100001,8.200001,8.200001,8.400001,8.800001,9.000001,9.200001,9.300001,9.500001,9.800001,10.000001,10.200001
53,Bretagne,6.800001,6.600001,6.600001,6.600001,6.700001,6.800001,6.900001,7.200001,7.500001,7.700001,7.900001,8.200001,8.300001,8.700001,9.100001,9.300001
54,Poitou-Charentes,9.000001,8.800001,8.800001,8.900001,8.800001,8.900001,9.000001,9.200001,9.500001,9.700001,9.900001,9.900001,9.800001,10.000001,10.200001,10.500001
72,Aquitaine,8.600001,8.200001,8.100001,8.200001,8.300001,8.300001,8.400001,8.700001,9.000001,9.300001,9.500001,9.700001,9.800001,10.000001,10.200001,10.400001
73,Midi-Pyrénées,8.100001,7.900001,7.800001,7.800001,7.800001,7.800001,7.800001,8.000001,8.300001,8.400001,8.700001,8.700001,8.800001,9.200001,9.400001,9.700001
74,Limousin,8.000001,7.800001,7.600001,7.600001,7.700001,7.800001,7.900001,8.000001,8.400001,8.600001,8.900001,9.000001,9.100001,9.300001,9.500001,9.700001
82,Rhône-Alpes,6.600001,6.600001,6.700001,6.900001,7.000001,7.200001,7.300001,7.700001,8.100001,8.500001,9.000001,9.300001,9.600001,10.000001,10.300001,10.600001
83,Auvergne,8.400001,8.500001,8.600001,8.600001,8.700001,8.600001,8.600001,8.800001,9.000001,9.000001,9.000001,9.000001,8.900001,9.100001,9.300001,9.600001
91,Languedoc-Roussillon,7.800001,7.600001,7.500001,7.400001,7.400001,7.400001,7.300001,7.500001,7.700001,7.900001,8.200001,8.400001,8.500001,8.800001,9.100001,9.400001
93,Provence-Alpes-Côte d'Azur,9.800001,9.900001,10.000001,10.200001,10.300001,10.300001,10.400001,10.800001,11.200001,11.500001,12.000001,12.300001,12.500001,12.900001,13.200001,13.400001
94,Corse,6.400001,6.200001,6.200001,6.400001,6.500001,6.600001,6.600001,6.800001,7.100001,7.300001,7.600001,7.800001,7.800001,8.200001,8.400001,8.600001
