Code,Régions,2009,2008,2007,2006,2005,2004,2003,2002
11,Île-de-France,552052,557974,541536,506787,488509,466588,455615,441315
21,Champagne-Ardenne,35779,37350,36492,34709,33643,33210,30601,30782
22,Picardie,43725,45492,44450,42422,41302,40087,38916,38227
23,Haute-Normandie,48555,50244,49174,46343,44921,43461,41589,40743
24,Centre,65173,67170,66142,63284,60921,59396,57566,55698
25,Basse-Normandie,34869,35962,35111,34017,32715,32052,30482,29732
26,Bourgogne,41805,43310,42455,40229,38581,37802,35967,35445
31,Nord-Pas-de-Calais,96839,99348,96545,92391,87808,84863,81790,79322
41,Lorraine,55396,57356,56601,54613,52725,51604,49153,48265
42,Alsace,50701,52146,50978,48348,46400,45700,43901,43513
43,Franche-Comté,28083,29011,28655,27588,26887,26458,25399,25289
52,Pays de la Loire,94032,96409,92995,88687,85262,81849,78440,76095
53,Bretagne,81632,83604,80773,78271,74785,71401,67104,64671
54,Poitou-Charentes,42379,43864,42959,40930,39313,38215,36369,35249
72,Aquitaine,85693,87060,84660,81284,76740,73425,70517,69459
73,Midi-Pyrénées,76522,77663,75000,73634,68326,64563,62326,59913
74,Limousin,17509,17969,17701,17098,16402,15680,15269,15062
82,Rhône-Alpes,181810,187205,182160,175032,165224,159182,151391,145865
83,Auvergne,33174,33910,33423,31876,30701,29729,28492,27745
91,Languedoc-Roussillon,60523,61791,59888,57346,54135,51961,49114,47001
93,Provence-Alpes-Côte d'Azur,138002,140175,135460,131218,124710,118586,112227,108167
94,Corse,7279,7235,6853,6580,6134,5750,5417,5208
