Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
42,Alsace,"443,226","539,973","398,358","211,086","83,090","1,675,733"
72,Aquitaine,"679,716","808,311","687,563","453,981","216,237","2,845,808"
83,Auvergne,"309,977","367,182","323,441","214,830","98,585","1,314,015"
25,Basse-Normandie,"386,167","404,432","321,345","207,707","85,686","1,405,337"
26,Bourgogne,"408,616","448,456","384,829","251,719","121,533","1,615,153"
53,Bretagne,"742,880","808,414","655,170","439,668","184,451","2,830,583"
24,Centre,"625,130","686,706","572,863","352,163","173,532","2,410,394"
21,Champagne-Ardenne,"372,298","402,373","316,458","178,683","79,664","1,349,476"
94,Corse,"60,374","73,011","64,090","40,993","18,509","256,977"
43,Franche-Comté,"303,104","325,126","264,410","149,453","65,701","1,107,794"
23,Haute-Normandie,"506,246","531,224","411,967","220,209","96,119","1,765,765"
11,Île-de-France,"2,878,368","3,586,068","2,695,464","1,143,409","529,914","10,833,223"
91,Languedoc-Roussillon,"529,707","612,066","520,489","363,212","167,345","2,192,819"
74,Limousin,"152,214","190,005","174,189","133,042","69,080","718,530"
41,Lorraine,"629,885","703,004","545,123","315,205","120,650","2,313,867"
73,Midi-Pyrénées,"574,216","717,668","597,462","399,642","194,645","2,483,633"
31,Nord - Pas-de-Calais,"1,211,718","1,195,531","878,140","508,889","187,505","3,981,783"
52,Pays de la Loire,"875,922","905,960","718,664","434,764","193,128","3,128,438"
22,Picardie,"535,834","550,442","428,728","230,580","94,863","1,840,447"
54,Poitou-Charentes,"395,419","445,284","382,022","263,775","126,861","1,613,361"
93,Provence-Alpes-Côte d'Azur,"1,071,218","1,230,788","1,077,935","679,023","324,628","4,383,592"
82,Rhône-Alpes,"1,487,540","1,658,576","1,330,826","708,885","312,453","5,498,280"
