Code,Régions 2016,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
94,Corse,7279,7235,6853,6580,6134,5750,5417,5208,5042,4737
24,Centre-Val de Loire,65173,67170,66142,63284,60921,59396,57566,55698,54183,52166
27,Bourgogne et Franche-Comté,69888,72321,71110,67817,65468,64260,61366,60734,59223,57503
53,Bretagne,81632,83604,80773,78271,74785,71401,67104,64671,62637,60118
28,Normandie,83424,86206,84285,80360,77636,75513,72071,70475,68636,67134
52,Pays de la Loire,94032,96409,92995,88687,85262,81849,78440,76095,73548,69963
76,Languedoc-Roussillon et Midi-Pyrénées,137045,139454,134888,130980,122461,116524,111440,106914,102877,96592
93,Provence-Alpes-Côte d'Azur,138002,140175,135460,131218,124710,118586,112227,108167,104913,99636
32,Nord-Pas-de-Calais et Picardie,140564,144840,140995,134813,129110,124950,120706,117549,113751,110457
44,"Alsace, Champagne-Ardenne et Lorraine",141876,146852,144071,137670,132768,130514,123655,122560,119782,116905
75,"Aquitaine, Limousin et Poitou-Charentes",145581,148893,145320,139312,132455,127320,122155,119770,114644,108634
84,Auvergne et Rhône-Alpes,214984,221115,215583,206908,195925,188911,179883,173610,169703,163814
11,Île-de-France,552052,557974,541536,506787,488509,466588,455615,441315,423811,411083
