Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,Total
44,Alsace-Champagne-Ardenne-Lorraine,"1,424,459","1,594,509","1,327,256","720,374","308,352","5,374,950"
75,Aquitaine-Limousin-Poitou-Charentes,"1,209,632","1,403,729","1,306,496","852,540","446,550","5,218,947"
84,Auvergne-Rhône-Alpes,"1,788,401","1,986,822","1,732,819","935,689","447,118","6,890,849"
27,Bourgogne-Franche-Comté,"695,415","748,846","679,784","403,775","201,300","2,729,120"
53,Bretagne,"733,872","795,341","690,545","445,122","205,474","2,870,354"
24,Centre-Val de Loire,"616,422","668,382","603,618","356,918","186,694","2,432,034"
94,Corse,"60,154","70,472","67,066","41,153","20,252","259,097"
11,Île-de-France,"2,877,286","3,521,075","2,780,433","1,155,884","560,749","10,895,427"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,117,075","1,311,672","1,180,670","763,963","396,132","4,769,512"
32,Nord-Pas-de-Calais-Picardie,"1,711,766","1,706,738","1,380,882","737,360","313,201","5,849,947"
28,Normandie,"876,879","904,957","774,978","434,246","201,412","3,192,472"
52,Pays de la Loire,"861,916","897,796","763,952","446,220","212,421","3,182,305"
93,Provence-Alpes-Côte d'Azur,"1,082,465","1,208,346","1,125,168","678,232","356,793","4,451,004"
