Code,Régions,0 à 19 ans,20 à 39 ans,40 à 59 ans,60 à 74 ans,75 ans et plus,0 à 19 ans
44,Alsace-Champagne-Ardenne-Lorraine,"1,333,076","1,415,473","1,556,895","760,427","466,659","1,333,076"
75,Aquitaine-Limousin-Poitou-Charentes,"1,279,560","1,330,447","1,588,571","911,354","635,554","1,279,560"
84,Auvergne-Rhône-Alpes,"1,882,203","1,924,579","2,042,693","1,063,349","665,254","1,882,203"
27,Bourgogne-Franche-Comté,"664,539","663,528","772,034","429,899","283,878","664,539"
53,Bretagne,"777,642","762,660","863,756","478,800","316,208","777,642"
24,Centre-Val de Loire,"613,259","598,568","697,229","381,820","257,189","613,259"
94,Corse,"64,870","74,478","88,294","51,244","30,807","64,870"
11,Île-de-France,"3,056,145","3,502,425","3,125,251","1,341,662","760,751","3,056,145"
76,Languedoc-Roussillon-Midi-Pyrénées,"1,270,377","1,325,272","1,499,288","850,745","572,424","1,270,377"
32,Nord-Pas-de-Calais-Picardie,"1,590,787","1,568,019","1,593,986","747,736","452,473","1,590,787"
28,Normandie,"827,705","804,389","905,354","469,639","303,361","827,705"
52,Pays de la Loire,"910,199","883,393","951,867","497,499","328,537","910,199"
93,Provence-Alpes-Côte d'Azur,"1,136,230","1,160,822","1,324,341","774,758","503,004","1,136,230"
